Filename	DOI	Reference
ALSECYPIAMH_WU_2022_NEI	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_PEI	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_PHQ	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_PIL	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_SDQ	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_SWEMWBS	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_SWLS	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
american_multiracial_face	10.3758/s13428-020-01447-8	Chen, J.M., Norman, J.B. & Nam, Y. Broadening the stimulus set: Introducing the American Multiracial Faces Database. Behav Res (2020). https://doi.org/10.3758/s13428-020-01447-8
AMI_CV_Hewitt2024	10.3758/s13428-023-02184-4	Hewitt, S.R., Habicht, J., Bowler, A. et al. Probing apathy in children and adolescents with the Apathy Motivation Index–Child version. Behav Res 56, 3982–3994 (2024). https://doi.org/10.3758/s13428-023-02184-4
andrich_mudfold	10.1177/014662168801200104	Andrich, D. (1988). The application of an unfolding model of the PIRT type to the measurement of attitude. Applied psychological measurement, 12(1), 33-51.
anxiety_gastro_symptoms	10.1037/pas0001280	Forney, K. J., Burton Murray, H., Brown, T. A., Guadagnoli, L., Pucci, G., & Taft, T. (2023). Validation of a measure of hypervigilance and anxiety about gastrointestinal symptoms for individuals with elevated eating pathology. Psychological Assessment.
anxiety_lordif		PROMIS Cooperative Group. Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1. October, 2008: http://www.nihpromis.org
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT	10.1027/1015-5759/a000685	Rachev, N. R., Geiger, S. J., Vintr, J., Kirilova, D., Nabutovsky, A., & Nelsson, J. (2022). Actively open-minded thinking, bullshit receptivity, and susceptibility to framing: Evaluating the dual-process account in North America and Bulgaria. European Journal of Psychological Assessment, 38(6), 440–451. https://doi.org/10.1027/1015-5759/a000685
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS	10.1027/1015-5759/a000685	Rachev, N. R., Geiger, S. J., Vintr, J., Kirilova, D., Nabutovsky, A., & Nelsson, J. (2022). Actively open-minded thinking, bullshit receptivity, and susceptibility to framing: Evaluating the dual-process account in North America and Bulgaria. European Journal of Psychological Assessment, 38(6), 440–451. https://doi.org/10.1027/1015-5759/a000685
AOMT_BR_SF_EDPANAB_Geiger_2021_RF	10.1027/1015-5759/a000685	Rachev, N. R., Geiger, S. J., Vintr, J., Kirilova, D., Nabutovsky, A., & Nelsson, J. (2022). Actively open-minded thinking, bullshit receptivity, and susceptibility to framing: Evaluating the dual-process account in North America and Bulgaria. European Journal of Psychological Assessment, 38(6), 440–451. https://doi.org/10.1027/1015-5759/a000685
APFCompact_Ptacek_2024_AAQ_II	10.51561/cspsych.68.1.30	Ptáček, Martin & Jelínek, Martin. (2024). Assessing psychological flexibility: The psychometric properties of the Czech translation of the CompACT questionnaire. Ceskoslovenska psychologie. 68. 10.51561/cspsych.68.1.30. 
APFCompact_Ptacek_2024_DASS-21	10.51561/cspsych.68.1.30	Ptáček, Martin & Jelínek, Martin. (2024). Assessing psychological flexibility: The psychometric properties of the Czech translation of the CompACT questionnaire. Ceskoslovenska psychologie. 68. 10.51561/cspsych.68.1.30. 
APFCompact_Ptacek_2024_SWLS	10.51561/cspsych.68.1.30	Ptáček, Martin & Jelínek, Martin. (2024). Assessing psychological flexibility: The psychometric properties of the Czech translation of the CompACT questionnaire. Ceskoslovenska psychologie. 68. 10.51561/cspsych.68.1.30. 
approaches_to_text_study1		Calloway RC, Helder A, Perfetti CA. Study 1 TReATQ, RH, NFC Raw Data [data set] from "A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79
approaches_to_text_study2		Calloway RC, Helder A, Perfetti CA. Study 2 Data [data set] from "A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79
art	10.3758/s13428-021-01556-y	McCarron, S.P., Kuperman, V. Is the author recognition test a useful metric for native and non-native English speakers? An item response theory analysis. Behav Res 53, 2226–2237 (2021). https://doi.org/10.3758/s13428-021-01556-y
artistic_preferences		Artistic Preferences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/APS_data.zip
Aspirations_Sonmez_2022	10.1504/IJHD.2023.10055261	Sonmez, F. (2023). Psychometric properties of the Turkish version of the Aspiration Index and the relationship between aspirations and subjective well-being. International Journal of Happiness and Development, 8(1), 28-43.
assistments_0910		
assistments_1213		
assistments_1516		
assistments_2017		
audit_BrummerHoffman_2021	10.1037/pas0001323	de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.
autonomysupport_mokken	10.1111/bmsp.12174	Koopman, L., Zijlstra, B. J., & van der Ark, L. A. (2020). Standard errors of two‐level scalability coefficients. British Journal of Mathematical and Statistical Psychology, 73(2), 213-236.
bae_boredom_bieleke2022	10.1098/rsos.211998	Bieleke, M., Ripper, L., Schüler, J., & Wolff, W. (2022). Boredom is the root of all evil—or is it? A psychometric network approach to individual differences in behavioural responses to boredom. Royal Society open science, 9(9), 211998.
BAFACALO_Golino_2013_BVPS	10.7910/DVN/23150	Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.  Golino, Hudson; Gomes, Cristiano, 2013, "Data from the BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models: Carroll's model and the CHC model.", https://doi.org/10.7910/DVN/23150, Harvard Dataverse, V1, UNF:5:gvU0svAl87oW02bkbMD0zg== [fileUNF]
BAFACALO_Golino_2013_CIS	10.7910/DVN/23150	Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.  Golino, Hudson; Gomes, Cristiano, 2013, "Data from the BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models: Carroll's model and the CHC model.", https://doi.org/10.7910/DVN/23150, Harvard Dataverse, V1, UNF:5:gvU0svAl87oW02bkbMD0zg== [fileUNF]
BAFACALO_Golino_2013_FIS	10.7910/DVN/23150	Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.  Golino, Hudson; Gomes, Cristiano, 2013, "Data from the BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models: Carroll's model and the CHC model.", https://doi.org/10.7910/DVN/23150, Harvard Dataverse, V1, UNF:5:gvU0svAl87oW02bkbMD0zg== [fileUNF]
BAFACALO_Golino_2013_SMS	10.7910/DVN/23150	Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.  Golino, Hudson; Gomes, Cristiano, 2013, "Data from the BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models: Carroll's model and the CHC model.", https://doi.org/10.7910/DVN/23150, Harvard Dataverse, V1, UNF:5:gvU0svAl87oW02bkbMD0zg== [fileUNF]
balance_mokken		Van Maanen, L., Been, P. H., & Sijtsma, K. (1989). Problem solving strategies and the linear logistic test model. In Mathematical psychology in progress (pp. 267-287). Springer.
beh_boredom_bieleke2022	10.1098/rsos.211998	Bieleke, M., Ripper, L., Schüler, J., & Wolff, W. (2022). Boredom is the root of all evil—or is it? A psychometric network approach to individual differences in behavioural responses to boredom. Royal Society open science, 9(9), 211998.
bhs_floreskanter2021	10.17632/9mjg54kcwv.5	Flores-Kanter, Pablo Ezequiel (2021), “Datset for Internal structure of Beck Hopelessness Scale: An analysis of method effects using the CT-C(M–1) model”, Mendeley Data, V5, doi: 10.17632/9mjg54kcwv.5
big5_sirt	10.1080/10705510902751416	Dolan, C. V., Oort, F. J., Stoel, R. D., & Wicherts, J. M. (2009). Testing measurement invariance in the target rotated multigroup exploratory factor model. Structural Equation Modeling: A Multidisciplinary Journal, 16(2), 295-314.
blocked_interleaved_instruction		Patel, R., Liu, R., Koedinger, K. (2017) Dissertation data [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190
BPAQ_Christopher_2024_BPAQSF	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_FFMQSF	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_OBSI	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_PCL5	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_PROMIS	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_PSS10	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
BPAQ_Christopher_2024_SCSS	10.1002/ab.22145	Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.
bpi_mplus	10.20982/tqmp.17.02.p141	Kim, M., Winkler, C., & Talley, S. (2021). Binary item CFA of Behavior Problem Index (BPI) using Mplus: A step-by-step tutorial. The Quantitative Methods for Psychology, 17, 141-153.
bps_boredom_bieleke2022	10.1098/rsos.211998	Bieleke, M., Ripper, L., Schüler, J., & Wolff, W. (2022). Boredom is the root of all evil—or is it? A psychometric network approach to individual differences in behavioural responses to boredom. Royal Society open science, 9(9), 211998.
brain_hemisphere		Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip
broadband_inventories	10.1016/j.jrp.2010.01.002	Yarkoni, T. (2010). The abbreviation of personality, or how to measure 200 personality scales with 200 items. Journal of Research in Personality, 44, 180-198.
BSCS_fadplus_goto2021	10.3389/fpsyg.2021.720601	Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.
cavalini_mokken		Cavalini, P. M. (1992). It’s an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries. Unpublished doctoral disseratation. University of Groningen, The Netherlands.
CBI_Rodriguez_2021	10.1080/10400419.2023.2183322	Rodriguez, R. M., Silvia, P. J., Kaufman, J. C., Reiter-Palmon, R., & Puryear, J. S. (2023). Taking inventory of the creative behavior inventory: An item response theory analysis of the CBI. Creativity Research Journal, 35(2), 143-153.
cdm_ecpe	10.1111/emip.12010	Templin, J., & Hoffman, L. (2013). Obtaining diagnostic classification model estimates using Mplus. Educational Measurement: Issues and Practice, 32, 37-50.
cdm_hr		Ravand, H., Barati, H., & Widhiarso, W. (2013). Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration. Iranian Journal of Language Testing, 3(1), 1-27.
cdm_pisa00R	10.4236/psych.2014.518200	Chen, J., & de la Torre, J. (2014). A procedure for diagnostically modeling extant large-scale assessment data: the case of the programme for international student assessment in reading. Psychology, 5(18), 1967-1978.
cdm_timss03	10.1007/s10763-018-9916-9	Su, Y.-L., Choi, K. M., Lee, W.-C., Choi, T., & McAninch, M. (2013). Hierarchical cognitive diagnostic analysis for TIMSS 2003 mathematics. CASMA Research Report 35. Center for Advanced Studies in Measurement and Assessment (CASMA), University of Iowa.
cdm_timss07	10.1080/15305058.2010.534571	Lee, Y. S., Park, Y. S., & Taylan, D. (2011). A cognitive diagnostic modeling of attribute mastery in Massachusetts, Minnesota, and the US national sample using the TIMSS 2007. International Journal of Testing, 11, 144-177.
cdm_timss11		George, A. C., & Robitzsch, A. (2014). Multiple group cognitive diagnosis models, with an emphasis on differential item functioning. Psychological Test and Assessment Modeling, 56(4), 405-432
CFC_Balaji_2019	10.7910/DVN/1KDJTZ	KV, V. B., & Indradevi, R. (2017). RELATIONSHIP OF ACADEMIC PROCRASTINATION AND CONSIDERATION OF FUTURE CONSEQUENCES-AN EMPIRICAL STUDY AMONG UNIVERSITY STUDENTS. Global Management Review, 11(1).  Kurumbur Varadharajan, Vaidhyanatha Balaji, 2019, "CFC-12 Data used for “Relationship of Academic Procrastination and Consideration of Future Consequences – An Empirical Study among University Students", https://doi.org/10.7910/DVN/1KDJTZ, Harvard Dataverse, V1, UNF:6:HAttubnAkzfOirP1+LgpMg== [fileUNF]
chemistry_tutor	10.1080/10508406.2021.1888733	Rau, M. A., Zahn, M., Misback, E., Herder, T., & Burstyn, J. (2021). Adaptive support for representational competencies during technology-based problem solving in chemistry [data set]. Journal of the Learning Sciences. doi:10.1080/10508406.2021.1888733
chess_lnirt	10.2307/30039042	Van Der Maas, H. L., & Wagenmakers, E. J. (2005). A psychometric analysis of chess expertise. The American journal of psychology, 118(1), 29-60.
CHEXI_Lin_2019	10.7910/DVN/YRLEAY	Lin, Hui-Li, 2019, "TC-CHEXI", https://doi.org/10.7910/DVN/YRLEAY, Harvard Dataverse, V1
chinese_vocabulary_learning		Pavlik, P. (2011). Motivation and Metacognition in Chinese Vocabulary Learning, Experiment 4 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459 
close_relationships		(2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip
cmu_algebra_2006		Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2005-2006. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp
cmu_algebra_2007		Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp
cmu_algebra_2009		Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp
cmu_bridging_algebra_2007		Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp
cmu_bridging_algebra_2009		Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp
COACH_Chen_2022_ADL	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_CSQ	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_HDRS	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_IADL	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_MOS_SSS_C	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_PHQ9	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_SNS	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_treatmentStigma	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
COACH_Chen_2022_WHOQOL_BREF	10.7910/DVN/6RWH41	Chen, S., Conwell, Y., Xue, J., Li, L. W., Tang, W., Bogner, H. R., & Dong, H. (2018). Protocol of an ongoing randomized controlled trial of care management for comorbid depression and hypertension: the Chinese Older Adult Collaborations in Health (COACH) study. BMC geriatrics, 18, 1-9. Shulin Chen; Yeates Conwell; Jiang Xue; Lydia Li; Tingjie Zhao; Wan Tang; Hillary R. Bogner; Hengjin Dong, 2022, "The Chinese Older Adult Collaborations in Health (COACH) Study", https://doi.org/10.7910/DVN/6RWH41, Harvard Dataverse, V1
concretewords	10.3758/s13428-022-01912-6	Muraki, E. J., Abdalla, S., Brysbaert, M., & Pexman, P. M. (2023). Concreteness ratings for 62,000 English multiword expressions. Behavior Research Methods, 55(5), 2522-2531.
consideration_future_consequences		Consideration of Future Consequences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/CFCS.zip
content_literacy_interention_g1	10.7910/DVN/RVJIMX	Kim, J. S., Burkhauser, M. A., Mesite, L. M., Asher, C. A., Relyea, J. E., Fitzgerald, J., & Elmore, J. (2021). Improving reading comprehension, science domain knowledge, and reading engagement through a first-grade content literacy intervention. Journal of Educational Psychology, 113(1), 3.  Kim, James S.; Burkhauser, Mary; Mesite, Laura; Asher, Catherine A.; Relyea, Jackie Eunjung; Fitzgerald, Jill; Elmore, Jeff, 2021, "Replication data for: Improving Reading Comprehension, Science Domain Knowledge, and Reading Engagement through a First-Grade Content Literacy Intervention", https://doi.org/10.7910/DVN/RVJIMX, Harvard Dataverse, V1, UNF:6:BSUJnLmkvmj0YSTQr3MZAA== [fileUNF]
coomansaddition	10.1371/journal.pone.0155149	Coomans, F., Hofman, A., Brinkhuis, M., van der Maas, H. L., & Maris, G. (2016). Distinguishing fast and slow processes in accuracy-response time data. PloS one, 11(5), e0155149.
